avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,proto,source_ip,source_port,time_end,time_start,total_entropy,label
0,0,786,53,0.0,17,786,53064,169554750232528,169554751095797,0.0,,Outlier
0,0,786,53064,0.0,17,786,53,169554750232528,169554751195825,0.0,,Outlier
0,0,786,5353,4.41,17,786,5353,169554750232528,169554751321331,0.0,,Outlier
0,0,786,5353,4.41,17,786,5353,169554750232528,169554751421423,0.0,,Outlier
0,0,786,49594,7.53,6,786,443,169554750232528,169554751521452,0.0,,Outlier
0,0,786,443,4.12,6,786,49594,169554750232528,169554751621489,0.0,,Outlier
0,0,786,53133,4.79,17,786,443,169554750232528,169554751832523,0.0,,Outlier
0,0,786,443,4.73,17,786,53133,169554750232528,169554751932546,0.0,,Outlier
0,0,786,53133,6.36,17,786,443,169554750232528,169554752032607,0.0,,Outlier
0,0,786,53133,4.46,17,786,443,169554750232528,169554752132637,0.0,,Outlier
0,0,786,443,5.07,17,786,53133,169554750232528,169554752232667,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554752351741,0.0,,Outlier
0,0,786,35435,4.59,17,786,443,169554750232528,169554752451814,0.0,,Outlier
0,0,786,443,6.38,6,786,56190,169554750232528,169554752551849,0.0,,Outlier
0,0,786,443,7.92,6,786,56190,169554750232528,169554752651888,0.0,,Outlier
0,0,786,443,7.92,6,786,56190,169554750232528,169554752751953,0.0,,Outlier
0,0,786,443,4.69,17,786,35435,169554750232528,169554752999745,0.0,,Outlier
0,0,786,35435,4.79,17,786,443,169554750232528,169554753099800,0.0,,Outlier
0,0,786,35435,5.73,17,786,443,169554750232528,169554753199830,0.0,,Outlier
0,0,786,35435,5.56,17,786,443,169554750232528,169554753299870,0.0,,Outlier
0,0,786,45144,7.93,6,786,443,169554750232528,169554753402930,0.0,,Outlier
0,0,786,45144,7.86,6,786,443,169554750232528,169554753603193,0.0,,Outlier
0,0,786,45144,7.94,6,786,443,169554750232528,169554753803270,0.0,,Outlier
0,0,786,443,6.43,6,786,56190,169554750232528,169554754014529,0.0,,Outlier
0,0,786,443,7.91,6,786,56190,169554750232528,169554754114574,0.0,,Outlier
0,0,786,56190,5.09,6,786,443,169554750232528,169554754314682,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554754488531,0.0,,Outlier
0,0,786,35435,4.56,17,786,443,169554750232528,169554754588568,0.0,,Outlier
0,0,786,5353,4.41,17,786,5353,169554750232528,169554754688629,0.0,,Outlier
0,0,786,5353,4.41,17,786,5353,169554750232528,169554754788671,0.0,,Outlier
0,0,786,443,6.42,6,786,56190,169554750232528,169554754888708,0.0,,Outlier
0,0,786,443,6.23,6,786,56190,169554750232528,169554755000126,0.0,,Outlier
0,0,786,443,7.94,6,786,56190,169554750232528,169554755100163,0.0,,Outlier
0,0,786,443,7.9,6,786,56190,169554750232528,169554755200230,0.0,,Outlier
0,0,786,443,4.72,17,786,35435,169554750232528,169554755300296,0.0,,Outlier
0,0,786,443,7.92,6,786,45144,169554750232528,169554755755030,0.0,,Outlier
0,0,786,443,7.94,6,786,45144,169554750232528,169554755855092,0.0,,Outlier
0,0,786,443,7.93,6,786,45144,169554750232528,169554755955164,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554756077305,0.0,,Outlier
0,0,786,35435,6.25,17,786,443,169554750232528,169554756177321,0.0,,Outlier
0,0,786,443,5.06,17,786,35435,169554750232528,169554756277436,0.0,,Outlier
0,0,786,35435,6.0,17,786,443,169554750232528,169554756377471,0.0,,Outlier
0,0,786,443,5.11,17,786,35435,169554750232528,169554756477506,0.0,,Outlier
0,0,786,443,4.65,17,786,35435,169554750232528,169554757522130,0.0,,Outlier
0,0,786,35435,4.64,17,786,443,169554750232528,169554757630118,0.0,,Outlier
0,0,786,443,4.86,17,786,35435,169554750232528,169554757730156,0.0,,Outlier
0,0,786,35435,4.64,17,786,443,169554750232528,169554757830182,0.0,,Outlier
0,0,786,443,4.86,17,786,35435,169554750232528,169554757930203,0.0,,Outlier
0,0,786,35435,4.64,17,786,443,169554750232528,169554758030237,0.0,,Outlier
0,0,786,45144,6.89,6,786,443,169554750232528,169554758235422,0.0,,Outlier
0,0,786,45144,6.13,6,786,443,169554750232528,169554758435469,0.0,,Outlier
0,0,786,56013,7.85,17,786,443,169554750232528,169554758646519,0.0,,Outlier
0,0,786,56013,7.84,17,786,443,169554750232528,169554758746559,0.0,,Outlier
0,0,786,56013,7.75,17,786,443,169554750232528,169554758846635,0.0,,Outlier
0,0,786,56013,6.85,17,786,443,169554750232528,169554758946688,0.0,,Outlier
0,0,786,56013,4.5,17,786,443,169554750232528,169554759046727,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554759153335,0.0,,Outlier
0,0,786,443,6.33,6,786,56190,169554750232528,169554759253365,0.0,,Outlier
0,0,786,443,7.93,6,786,56190,169554750232528,169554759353447,0.0,,Outlier
0,0,786,443,7.89,6,786,56190,169554750232528,169554759453514,0.0,,Outlier
0,0,786,443,4.86,17,786,35435,169554750232528,169554759553576,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554760117447,0.0,,Outlier
